cisp;mes;ano;munic;regiao;roubo_veiculo;flag
77;4;2003;Niterói;Grande Niterói;28;mais
78;4;2003;Niterói;Grande Niterói;37;mais
79;4;2003;Niterói;Grande Niterói;8;mais ou menos
81;4;2003;Niterói;Grande Niterói;6;mais ou menos
82;4;2003;Maricá;Grande Niterói;8;mais ou menos
88;4;2003;Barra do Pirai;Interior;1;mais ou menos
89;4;2003;Resende;Interior;4;mais ou menos
90;4;2003;Barra Mansa;Interior;2;mais ou menos
91;4;2003;Valença;Interior;0;menos
92;4;2003;Rio das Flores;Interior;0;menos
93;4;2003;Volta Redonda;Interior;10;mais ou menos
94;4;2003;"Piraí;Pinheiral";Interior;6;mais ou menos
95;4;2003;Vassouras;Interior;3;mais ou menos
96;4;2003;"Miguel Pereira;Paty dos Alferes";Interior;0;menos
97;4;2003;Mendes;Interior;0;menos
98;4;2003;Engenheiro Paulo de Frontin;Interior;0;menos
99;4;2003;Itatiaia;Interior;2;mais ou menos
100;4;2003;"Porto Real;Quatis";Interior;0;menos
104;4;2003;São José do Vale do Rio Preto;Interior;0;menos
105;4;2003;Petrópolis;Interior;3;mais ou menos
106;4;2003;Petrópolis;Interior;1;mais ou menos
107;4;2003;Paraíba do Sul;Interior;0;menos
108;4;2003;"Comendador Levy Gasparian;Areal;Três Rios";Interior;4;mais ou menos
109;4;2003;Sapucaia;Interior;3;mais ou menos
110;4;2003;Teresópolis;Interior;4;mais ou menos
111;4;2003;Sumidouro;Interior;0;menos
112;4;2003;Carmo;Interior;0;menos
118;4;2003;Araruama;Interior;3;mais ou menos
119;4;2003;Rio Bonito;Interior;2;mais ou menos
120;4;2003;Silva Jardim;Interior;2;mais ou menos
121;4;2003;Casimiro de Abreu;Interior;1;mais ou menos
122;4;2003;Conceição de Macabú;Interior;2;mais ou menos
123;4;2003;"Macaé;Quissamã;Carapebus";Interior;8;mais ou menos
124;4;2003;Saquarema;Interior;6;mais ou menos
125;4;2003;São Pedro da Aldeia;Interior;2;mais ou menos
126;4;2003;"Cabo Frio;Arraial do Cabo";Interior;6;mais ou menos
127;4;2003;Armação dos Búzios;Interior;4;mais ou menos
128;4;2003;Rio das Ostras;Interior;7;mais ou menos
129;4;2003;Iguaba Grande;Interior;0;menos
134;4;2003;Campos dos Goytacazes;Interior;13;mais ou menos
135;4;2003;Itaocara;Interior;0;menos
136;4;2003;"Santo Antônio de Pádua;Aperibé";Interior;0;menos
137;4;2003;Miracema;Interior;0;menos
138;4;2003;Laje do Muriaé;Interior;0;menos
